fid,name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,layer,path
"60",Downtown,11356254.808,14822.4431569,5837.42721251919,1763829.54964131,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"63",Dunbar-Broadway,4782962.25366,9686.2090653,3816.0897574174,742982.847935844,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"78",Fells Point,8030614.92358,22094.1653683,8706.83983411742,1247024.1103719,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"86",Gay Street,3055188.76477,7137.34782527,2814.42543494685,474661.032873622,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"117",Inner Harbor,6729869.74377,37141.6983457,14637.4005518571,1045049.21738507,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"120",Johnston Square,4763773.82037,10541.961704,4152.60270858609,740157.253224466,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"122",Jonestown,3748501.68243,8888.95556141,3504.06306569835,582205.966860583,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"135",Little Italy,1394845.48022,5216.83209646,2055.52235706614,216617.112101953,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"149",Mid-Town Belvedere,6158434.02692,10698.2351905,4218.14090592519,956864.18901642,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"164",Mount Vernon,6318924.2182,11595.6358979,4570.63809104154,981628.767716489,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"175",Oldtown,4666297.48083,9578.2192508,3774.86305734257,724904.431505107,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"191",Penn-Fallsway,3748607.56427,8958.02482747,3532.65393445471,582331.597256148,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"193",Perkins Homes,1033266.7132,4083.6537736,1609.11094499088,160470.048728352,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"196",Pleasant View Gardens,1282405.07007,4876.43564756,1921.16087415792,199194.287408024,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"223",Seton Hill,2078431.8537,6752.29900658,2662.02911768424,322868.887159569,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"237",University Of Maryland,4209747.48419,10060.5560054,3966.77154839156,653836.340466952,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"239",Upper Fells Point,3548763.87781,8691.7364505,3423.95001701261,551138.466966976,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"246",Washington Hill,4382351.96063,10205.1802729,4020.76217558513,680666.318125566,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"274",Downtown West,3058194.19354,8318.29464856,3275.71247390432,474925.745360159,central-neighborhoods — central,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/central-neighborhoods.geojson
"5",Armistead Gardens,13180631.0557,16915.7441343,6667.42926297808,2048122.18027663,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"9",Barclay,3918355.6239,8116.64931187,3201.18468563621,608995.102135378,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"14",Berea,9479305.00562,12598.7929985,4967.14660715668,1473072.54102823,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"23",Broadway East,9655402.7196,12525.8043973,4936.97061451987,1500389.71915254,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"41",Charles North,3869455.64868,9452.2635282,3726.92354005883,601325.10614786,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"45",Orchard Ridge,7738613.0426,13101.4501548,5161.57963636748,1202695.49246085,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"46",Clifton Park,15619927.8088,16821.5788895,6630.50335855764,2428030.78573643,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"48",Coldstream Homestead Montebello,14350023.8718,16776.7022175,6611.66103718158,2230811.68979617,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"56",Darley Park,1448701.6568,5721.58775897,2253.87623241251,225163.2533343,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"66",East Baltimore Midway,8358483.11853,12869.3724826,5069.50378099926,1299089.25768098,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"92",Greenmount Cemetery,2980085.94446,6951.22402897,2741.12715418063,463091.679010037,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"93",Greenmount West,2791403.33923,7365.44437598,2904.05657095852,433770.237662263,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"176",Oliver,7330066.82666,10859.8752595,4281.3778920994,1139032.87092134,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"177",Orangeville,10301508.9001,15682.1066537,6178.71272567404,1600497.36250239,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"178",Orangeville Industrial Area,12416222.6628,16424.4106755,6477.09941016207,1929294.21314429,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"226",South Clifton Park,2631025.18744,9645.48540728,3796.7837253519,408901.778051337,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"275",Belair-Edison,22998308.1718,25209.1506097,9936.42842662058,3575019.97984221,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"276",Four By Four,1974070.26605,6457.97454112,2543.37781808379,306818.327112593,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"278",Old Goucher,1614849.03455,5089.80457269,2006.76487299064,250990.764763792,eastern-neighborhoods,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/eastern-neighborhoods.geojson
"3",Arcadia,6302176.92999,12268.0789032,4839.57264550472,980017.935924169,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"12",Belair-Parkside,898055.542969,6678.39255968,2634.12234549068,139637.273973291,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"16",Beverly Hills,2903878.11652,7224.23458232,2849.49098640537,451633.272161164,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"29",Cameron Village,2894943.30859,8011.33245619,3159.96874590676,450465.864590233,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"37",Cedmont,10481879.1221,15076.2328037,5947.730142862,1630568.64791697,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"38",Cedonia,7867340.94531,17746.6729474,7003.79765673965,1223225.61263882,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"44",Chinquapin Park,3198454.19128,9169.64109685,3615.69174095024,497784.090755384,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"70",Ednor Gardens-Lakeside,14237242.0117,18899.6803598,7454.12480957049,2213913.3851645,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"81",Frankford,59236392.2885,38658.586818,15242.2176927262,9210351.61493126,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"88",Glen Oaks,7506418.2381,13893.7429567,5487.19024907171,1168299.42442069,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"89",Glenham-Belhar,20893170.4968,19395.6743412,7645.95727419031,3250462.43052966,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"101",Hamilton Hills,31835154.025,26493.0839559,10452.2163946548,4954534.05942308,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"106",Herring Run Park,6712914.21143,12150.6498692,4792.54257337933,1043788.73569418,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"108",Hillen,4703306.06403,9382.39289607,3702.14414386971,731550.902093215,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"116",Idlewood,5798822.81958,10299.3910147,4061.45003181809,902641.305776259,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"124",Kenilworth Park,4043237.16125,9251.86041756,3652.39956921505,629023.506088074,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"129",Lake Walker,5658032.30444,10861.4900577,4282.33356417958,880731.623587335,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"132",Lauraville,16484815.9441,20785.0176964,8198.27626668121,2564380.63512818,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"136",Loch Raven,15903146.4045,19133.1953623,7550.71745383596,2474929.53978748,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"139",Lower Herring Run Park,2424371.80109,8050.46560866,3174.10726327674,376867.25375972,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"144",Mayfield,3624961.97546,8117.6170454,3200.23414523658,563616.608905717,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"156",Montebello,12940059.1079,15669.336386,6180.0335248116,2012287.51171309,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"157",Moravia-Walther,3652442.80615,8864.34597724,3496.9088886917,568075.130697725,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"158",Morgan Park,2024263.63104,5822.75381211,2296.97100435595,314903.332059616,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"159",Morgan State University,7353342.63458,20842.8134201,8221.14084253948,1143872.22097003,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"167",Mt Pleasant Park,7052893.06226,14642.9897097,5780.20861344187,1097756.25017042,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"168",New Northwood,8945705.87537,15961.0786365,6300.83872877774,1391684.56962727,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"169",North Harford Road,17840985.8033,19737.9674588,7783.30625763775,2776876.91769401,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"179",Original Northwood,4807037.80054,10610.4530743,4188.31909987033,747642.048259605,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"181",Overlea,8483491.93335,13968.5224437,5513.07191253013,1320263.72692596,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"185",Parkside,3275695.39746,8597.02463868,3389.47395107913,509232.157572744,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"194",Perring Loch,6096896.04022,10666.4577319,4204.80415347393,948597.88521267,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"202",Ramblewood,4344952.36774,8775.58337132,3462.53205831945,676225.189049552,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"213",Rosemont East,7027804.5307,11961.6042059,4716.43606049975,1093523.60859614,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"229",Stonewood-Pentwood-Winston,2600221.12097,6890.19420371,2717.63801669664,404507.700383679,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"230",Taylor Heights,5331249.73413,10341.7477925,4080.30849403649,829848.70181061,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"245",Waltherson,20607287.7974,22365.1961846,8820.91148256203,3205262.41980078,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"252",Westfield,11957559.831,14412.3081342,5684.62977764711,1860779.6962851,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"260",Woodbourne Heights,3751242.67096,7799.11761036,3077.03000240271,583721.985217523,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"269",Evesham Park,2047093.81342,7080.75324782,2789.80845798249,318620.050994328,northeastern-neighborhoods — northeastern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northeastern-neighborhoods.geojson
"1",Abell,2034706.4007,5892.82777754,2324.67418218258,316336.062497104,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"13",Bellona-Gittings,4531887.16559,8679.20480461,3423.86952879557,705428.952603067,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"15",Better Waverly,7855516.21228,12435.9439128,4904.53898234751,1221244.40489358,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"18",Blythewood,2115750.30817,5922.91512629,2337.64920469683,329168.979465769,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"36",Cedarcroft,3727766.79431,8018.45088023,3162.53235362878,580271.124722431,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"40",Central Park Heights,12345779.7965,19209.9055291,7579.32276220057,1920356.4583345,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"47",Coldspring,18117450.8196,19438.0557115,7671.0594011314,2818668.62752737,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"52",Cross Keys,7756024.39581,15970.1196754,6306.08790302485,1206742.60377297,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"55",Cylburn,6159472.37085,10917.6891408,4305.99120926019,958197.175184418,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"62",Druid Hill Park,27173455.5836,22839.3689017,9003.26725400613,4224309.79017386,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"72",Evergreen,1604532.38177,5208.91302586,2054.55923585193,249601.616890476,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"94",Greenspring,4846824.47223,9653.22740119,3807.90800608816,753771.616676844,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"96",Guilford,15409086.9055,19160.9559939,7558.17091527626,2396565.35966683,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"99",Hampden,17129933.7401,19317.3123965,7618.18803748123,2663581.31805596,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
"103",Harwood,1977449.14349,5914.2249559,2333.27295384345,307389.69202432,northern-neighborhoods — northern,/Users/ryanlittle/code/projects/bpd-districts/data/shapefiles/district-neighborhoods/northern-neighborhoods.geojson
