district,agg_assault,arson,auto_theft,burglary,common_assault,homicide,larceny,larceny_from_auto,rape,robbery_carjacking,robbery_commercial,robbery_residence,robbery_street,shooting,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,majority,largest_pop,white_pop_rank,black_pop_rank,hisp_pop_rank,agg_assault_per_1k,arson_per_1k,auto_theft_per_1k,burglary_per_1k,common_assault_per_1k,homicide_per_1k,larceny_per_1k,larceny_from_auto_per_1k,rape_per_1k,robbery_carjacking_per_1k,robbery_commercial_per_1k,robbery_residence_per_1k,robbery_street_per_1k,shooting_per_1k,year
central,1528,28,709,1006,2554,62,2967,1445,112,105,277,91,733,145,44387,3403,16864,17988,minority,black,6,8,7,34.42449365805303,0.6308153288124901,15.973145290287697,22.664293599477325,57.539369635253564,1.3968053709419423,66.8438957352378,32.55457679050172,2.5232613152499606,2.365557483046838,6.240565931466421,2.050149818640593,16.513844143555545,3.2667222384932524,since 2020
eastern,1442,35,774,977,1934,119,1670,871,70,145,161,136,577,203,46088,3808,5197,34828,black,black,8,5,4,31.28797083839611,0.7594167679222357,16.793959382051728,21.198576636000695,41.96320083318868,2.5820170109356013,36.23502864086096,18.89862871029335,1.5188335358444713,3.1461551813921194,3.493317132442284,2.9508765839264015,12.519527859746571,4.404617253948967,since 2020
northeastern,1334,44,998,1012,1888,56,1810,1140,73,184,160,219,435,109,103815,3474,18621,75343,black,black,4,1,6,12.849780860183982,0.4238308529595916,9.613254346674372,9.748109618070606,18.186196599720656,0.5394210855849347,17.434860087655927,10.9810720994076,0.7031739151375043,1.7723835669219286,1.5412031016712422,2.1095217454125126,4.190145932668689,1.0499446130135337,since 2020
northern,1157,26,834,941,1847,65,2425,958,77,180,215,131,357,129,85348,4303,35942,33081,minority,white,1,6,3,13.556263767165019,0.30463514083516896,9.771757979097343,11.025448750995922,21.640811735482963,0.7615878520879223,28.41308525097249,11.22463326615738,0.9021886863195389,2.1090125134742466,2.519098279983128,1.534892440361813,4.182874818390589,1.5114589679898767,since 2020
northwestern,1299,32,990,1390,1903,104,2018,977,68,178,175,140,386,152,81262,3612,17199,56373,black,black,5,2,5,15.985331397209027,0.3937879943885211,12.182816076394872,17.105166006251384,23.418079791292364,1.2798109817626935,24.83325539612611,12.022839703674535,0.8367994880756073,2.1904457187861484,2.153528094312225,1.7228224754497796,4.750067682311536,1.8704929733454752,since 2020
southeastern,1268,26,903,1051,2231,66,2737,1646,90,107,216,80,605,146,57871,14505,21799,17240,minority,white,2,9,1,21.910801610478476,0.44927511188678265,15.603670232067875,18.161082407423407,38.55126056228508,1.1404675917126021,47.2948454320817,28.44257054483247,1.5551830796080939,1.8489398835340671,3.732439391059425,1.3823849596516389,10.454286257365519,2.5228525513642412,since 2020
southern,1336,36,1017,931,2077,91,2552,1440,72,164,165,120,432,178,51795,7257,20994,19189,minority,white,3,7,2,25.79399555941693,0.6950477845351868,19.635099913119028,17.97470798339608,40.10039579109952,1.7569263442417222,49.27116517038324,27.80191138140747,1.3900955690703736,3.166328796215851,3.185635679119606,2.3168259484506226,8.340573414422241,3.4366251568684234,since 2020
southwestern,1469,35,891,1033,2181,162,1613,789,79,146,88,125,420,239,49447,2172,5789,38827,black,black,7,3,8,29.708576860072398,0.7078285841405949,18.01929338483629,20.891055069063846,44.10783262887536,3.276235160879325,32.620785891965134,15.956478653912269,1.5976702327744858,2.95265637955791,1.7796832972677816,2.5279592290735535,8.49394300968714,4.833458045988634,since 2020
western,1646,29,896,1041,2384,124,1732,800,77,162,89,143,488,244,46423,1156,4135,38280,black,black,9,4,9,35.45656247980527,0.6246903474570794,19.30077763177735,22.424229369062747,51.35385477026474,2.6710897615406157,37.30909247571247,17.23283717122978,1.658660577730866,3.4896495271740298,1.9171531352993127,3.0803696443573227,10.512030674450164,5.256015337225082,since 2020
